PARAMETROS	UNIDAD_ORG	RESPUESTA
SE REMITE PARA CONOCIMIENTO/DELITO DE PELIGRO COMÚN/05 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014505-2019-1146-0/IMPUTADO HUMBERTO ESIQUIEL MATOS OMONTE MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

SOLICITA INFORMACIÓN MINISTERIO PUBLICO	PROYECTO JUEGOS PANAMERICANOS 2019 - DIRECCIÓN EJECUTIVA	SE ENVIÓ A FISCAL PROVINCIAL TITULAR - ZOILA MARIANELA SUENO CHIRINOS

REMITE BAUCHER DE PAGO POR ACUERDO DE PRINCIPIO DE OPORTUNIDAD POR EL DELITO DE CONDUCCIÓN EN ESTADO DE EBRIEDAD (CARPETA FISCAL N° 366-2019)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

NOTIFICA PROVIDENCIA N° 02-2019, REFERENTE AL CASO N° 3006064501-2019-290-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

SOLICITAN COMENTARIOS EN REF. A LAS RELATORIAS DEL 12 GORE JECUTIVO, REALIZADO EL DIA 12 DE DICIEMBRE 2019PCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	TCF/TL

NOTIFICA DISPOSICIÓN N°03, REFERENTE AL CASO N°3006064501-2019-2381-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA

(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)

(BOUCHER Y ACTAS DE AUDIENCIA ANEXADAS EN SU LEGAJO RESPECTIVO)"

SE REMITE PARA CONOCIMIENTO/ DELITO DE PELIGRO COMÚN/05 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014505-2019-1116-0/INVESTIGADO ALCANTARO ANIVAR DOROTEO MORALES MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/01° FISCALIA PROVINCIAL PENAL CORPORATIVA DE LEONCIO PRADO/CASO N° 2006064501-2019/IMPUTADO JOHANNA ELIZABETH QUIROZ MÁLAGA MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA

(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)"

CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/01 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014501-2019-1823-0/IMPUTADO CRISTIAN GERSON VALDIVIA AGUIRREMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA

(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)"

NOTIFICA DISPOSICIÓN N° 02-2019, REFERENTE AL CASO N°30060501-2019-1180-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

COMUNICA DESIGNACIÓN PARA PARTICIPAR EN MESA TECNICA DE TRABAJO EN EL MARCO DE LA IMPLEMENTACIÓN DEL OBSERVATORIO NACIONAL EN SEGURIDAD VIAL. MINISTERIO DE SALUD	DIRECCION GENERAL DE POLITICAS Y REGULACION EN TRANSPORTE MULTIMODAL-(NUEVO-ROF)	SE TOMA CONOCIMIENTO DE LA DESIGNACIÓN DEL C.D. JOEL COLLAZOS Y LA LIC. YLIANA ROJAS COMO INTEGRANTES, TITULAR Y LATERNA RESPECTIVAMENTE, EN LA MESA DE TRABAJO PARA IMPLEMENTACIÓN DEL OBSERVATORIO NACIONAL DE SEGURIDAD VIAL.

TRASLADA DOCUMENTO SOBRE SOLICITUD DE EJECUCIÓN DE PROYECTOS DE MEJORA INFRAESTRUCTURA VIAL EN LA PROVINCIA DE CAMANA - AREQUIPA. REMITIDO POR LA MUNICIPALIDAD PROVINCIAL DE CAMANA - AREQUIPA.PCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	"OFICIO DIRIGIDO A MARCELO VALDIVIA BRAVO

ALCALDE DE LA MUNICIPALIDAD PROV DE CAMANA

"

FISCALIA PROVINCIAL MIXTA DE BAJO BIAVO: SOLICITAN SE INFORME SI EL SR. ARNOLD MUÑOZ GONZALES PRESENTA LICENCIA PARA CONDUCIR VEHICULOS MAYORESMINISTERIO PUBLICO	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE ATENDIO.

TRIGESIMO SEPTIMA FISCALIA PROVINCIAL DE PENAL DE LIMA: SOLICITA EN CALIDAD DE MUY URGENTE SE INFORME RESPECTO A LAS POSIBLES REVISIONES TECNICAS QUE HUBIESE TENIDO LAS PLACAS DE RODAJE PIW-072 Y OROS. MINISTERIO PUBLICO	DIRECCION DE SERVICIOS DE TRANSPORTE TERRESTRE-(NUEVO-ROF)	"SE PROCEDE A FINALIZAR CON OFICIO Nº 257-2020-MTC/17.02, SE ADJUNTA CARGO DE NOTIFICACIÓN DE OFICIO, PASA AL ARCHIVO FÍSICAMENTE - JUAN CARLOS GODOY

"

FISCALIA PROVINCIAL ESPECIALIZADA EN DELITO DE CORRUPCION DE FUNCIONARIOS DEL DISTRITO FISCAL DE CAÑETE: SOLICITA EN EL PLAZO DE10 DIAS EL ORIGINAL O COPIAS FEDATEADAS DEL OFIICO N° 157-2018-MTC/FONDO/SP DE FECHA 01.06.201 Y OTROS. MINISTERIO PUBLICO	OFICINA DE FINANZAS	SE DIO RESPUESTA A LA FISCALIA CON OFICIO N°002-2020-MTC/FONDO/SE

REMITE VOUCHER DE PAGO POR PRINCIPIO DE OPORTUNIDAD , REFERENTE A CARPETA FISCAL N°2553-2019MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

REMITE DISPOSICIÓN NÚMERO UNO, ABRE INVESTIGACIÓN PRELIMINAR Y PROGRAMA DILIGENCIAS (CASO NRO. 2506014506-2019-2584-0)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

REMITE DISPOSICIÓN N° 01, ABSTENCIÓN DEL EJERCICIO DE LA ACCIÓN PENAL (CASO NRO. 2506014506-2019-1821-0)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

NOTIFICA DISPOSICIÓN N° 01 , REFERENTE AL CASO N° 3006014501-2019-2550-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

NOTIFICA DISPOSICIÓN N° 01-2019, REFERENTE AL CASO N°3006014504-2019-782-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

3ERA FISCALIA PENAL CORPORATIVA DE SANTA ROSA: SOLICITA SE REMITA LICENCIA DE CONDUCIR Q46593662 CATEGORIA AI DEL SR. CRISTIAN HUGO MEZA CIRILO. MINISTERIO PUBLICO	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)	SE ATENDIO.

REMITE DISPOSICIÓN N° 01, ABSTENCIÓN DE LA ACCIÓN PENAL (CASO NRO. 2506014504-2019-2989-0)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/04 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014504-2019-1705-0/IMPUTADO WILY JORDAN GONZALES HUERTA MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/06° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014506-2019-1688-0/ABEL MIGUEL LOYOLA MUÑOZMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

03° FISCALÍA PROVINCIAL PENAL CORPORATIVA DE CARHUAZ. REMITE CÉDULA DE NOTIFICACIÓN, RESPECTO A CASO N°1306064503-2019-334-0, REMITIENDO DISPOSICIÓN FISCAL N°01MINISTERIO PUBLICO	DIRECCION GENERAL DE FISCALIZACIONES Y SANCIONES EN COMUNICACIONES-(NUEVO-ROF)	SE TOMO CONOCIMIENTO Y SE ARCHIVO AL FILE DEL MINISTERIO PUBLICO.(FILE N° 165)

03° FISCALÍA PROVINCIAL PENAL CORPORATIVA DE CARHUAZ. REMITE CÉDULA DE NOTIFICACIÓN, RESPECTO A CASO N°1306064503-2019-335-0, REMITIENDO DISPOSICIÓN FISCAL N°01MINISTERIO PUBLICO	DIRECCION GENERAL DE FISCALIZACIONES Y SANCIONES EN COMUNICACIONES-(NUEVO-ROF)	SE TOMO CONOCIMIENTO Y SE ARCHIVO FILE DEL MINISTERIO PUBLICO(FILE - 160)

OFICINA DE SERVICIOS GENERALES:  SOLICITA CONFIRMAR VERACIDAD DE DOCUMENTOS: COPIA DE RESOLUCION DIRECTORAL N °464-2017-MTC/27 Y OTROS. MINISTERIO PUBLICO	DIRECCION GENERAL DE PROGRAMAS Y PROYECTOS DE COMUNICACIONES-(NUEVO-ROF)	NULL

NOTIFICA DISPOSICIÓN FISCAL N° 02-2019, REFERENTE AL CASO N° 3006064501-2018-2003-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

CONDUCCION ESTADO DE EBRIEDAD O DROGADICCIONMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA

(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)"

DELITO DE PELIGRO COMÚN/03 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO /CASO N° 2006014503-2019-1854-0/YELSIN VALDIVIESO REYES MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

REMITE DISPOSICIÓN N° 03-2019, CONSENTIDO LA ABSTENCIÓN (CASO NRO. 2506014503-2019215-0)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

FISCALIA PROVINCIAL ESPECIALIZADA EN DELITO DE CORRUPCION DE FUNCIONARIOS DEL DISTRITO FISCAL DE CAÑETE: SOLICITA EN EL PLAZO DE10 DIAS EL ORIGINAL O COPIAS FEDATEADAS DE EXPEDIENTE DE EJECUCION COACTIVA QUE INICIARA CONTRA LA MUNICIPALIDAD PROVINCIAL DE CAÑETE DEBIDO A RENUNCIA DE TRANSFERIR A LAS CUENTAS DEL FONDO SOAT. MINISTERIO PUBLICO	SECRETARIA GENERAL	SE DERIVO DOCUMENTO PARA ATENCIÓN DIRECTA A LA OFICINA DE COBRANZA Y EJECUCIÓN COACTIVA SOBRE REQUERIMIENTO DE REMISIÓN DE COPIA DE EXPEDIENTE DE EJECUCIÓN COACTIVA N° 13264-2018-N

REMITE DISPOSICIÓN N° 03-2019, CONSENTIDO LA ABSTENCIÓN (CASO NRO. 2506014503-2019-285-0)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

03° FISCALÍA PROVINCIAL PENAL CORPORATIVA DE CARHUAZ. REMITE CÉDULA DE NOTIFICACIÓN, RESPECTO A CASO N°1306064503-2019-336-0, REMITIENDO DISPOSICIÓN N°01MINISTERIO PUBLICO	DIRECCION GENERAL DE FISCALIZACIONES Y SANCIONES EN COMUNICACIONES-(NUEVO-ROF)	SE TOMO CONOCIMIENTO Y SE ARCHIVO FILE DEL MINISTERIO PUBLICO(FILE - 150)

NOTIFICA DISPOSICIÓN N°03-2019, REFERENTE AL CASO N° 3006064501-2019-2375-0MINISTERIO PUBLICO	NULL	DUPLICADO DEL EXPEDINETE ASIGNADO CON HOJA DE RUTA : 000350-2020

NOTIFICA DISPOSICIÓN N°03-2019, REFERENTE AL CASO N° 3006064501-2019-2375-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA

(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)

(BOUCHER Y ACTAS DE AUDIENCIA ANEXADAS EN SU LEGAJO RESPECTIVO)"

SE REMITE PARA CONOCIMIENTO/CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/06 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014506-2019-1132-0/ IMPUTADO JHERSSON JHORDYSS CANO URETA MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA

(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)"

SE REMITE PARA CONOCIMIENTO/CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/06 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014506-2019-962-0/IMPUTADO EDGAR PONCE NAZARIOMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA

(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)"

NOTIFICA DISPOSICIÓN N° 03-2019, REFERENTE AL CASO N° 3006064501-2019-2382-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA

(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)

(BOUCHER Y ACTAS DE AUDIENCIA ANEXADAS EN SU LEGAJO RESPECTIVO)"

SOLICITA REMITIR INFORMACIÓN SI LOS SEÑORES DANTE GIOBANNI BOGGIANO ROSSI, RENZO VIALE HERRERA Y FREDY RONALD DULIO TORRES HERRERA, REGISTRAN LICENCIAS DE CONDUCIR, EN UN PLAZO MÁXIMO DE 05 DÍAS HÁBILES. MINISTERIO PUBLICO	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE ATENDIO.

CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/01 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014501-2019-1816-0/IMPUTADO ANIBAL MICHEL SANCHEZMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA

(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)"

TRASLADA SOLICITUD DE ASISTENCIA PARA INSTALACIÓN DE ANTENAS DE TELEFONÍA MOVIL, EN FAVOR DE SU JURISDICCIÓN. PRESENTADO POR LA MUNICIPALIDAD DISTRITAL DE LEIMEBAMBA, AMAZONAS.PCM	DESPACHO VICEMINISTERIAL DE COMUNICACIONES	SE ADJUNTA A LA SOLICITUD DE REGISTRO Nº E-411321, POR CONTENER EL MISMO PEDIDO.

SE REMITE PARA CONOCIMIENTO/DELITO DE PELIGRO COMUN/05 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014505-2019-1165-0/INVESTIGADO  ETHEL EDMUNDO  SALVADOR ORTIZ MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

REMITE VOUCHER DE PAGO POR PRINCIPIO DE OPORTUNIDAD , REFERENTE A CARPETA FISCAL N°2086-2019MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

UNIDAD EJECUTORA N° 009:  SOLICITA VALIDAR PERIODOS DE APORTES AL FONAVI DEL SR. CHILIN CARHUANCHO WALTER. MINISTERIO DE ECONOMIA Y FINANZAS	OFICINA GENERAL DE GESTION DE RECURSOS HUMANOS-(NUEVO-ROF)	ATENDIDO

DELITOS CONTRA LA FE PUBLICAMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA

(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)

(BOUCHER Y ACTAS DE AUDIENCIA ANEXADAS EN SU LEGAJO RESPECTIVO)"

REITERA SOLICITUD DE INFORMACIÓN EN RELACIÓN AL PROCEDIMIENTO ARBITRAL INICIADO POR LA SOCIEDAD CONCESIONARIA AUTOPISTA DEL NORTE SAC ANTE EL CIACI. MINISTERIO DE ECONOMIA Y FINANZAS	DESPACHO VICEMINISTERIAL DE TRANSPORTES	"OFICIO 0027-2020-MTC/04 REMITIDO A 

RICARDO AMPUERO  LLERENA

PRESIDENTE

COMISION ESPECIAL - LEY 28933"

CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/01 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014501-2019-1831-0/IMPUTADO LUIS FERNANDO AGUIRRE CIERTO MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA

(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)"

REMITE SOBRE CERRADO SECRETO INDICA CONTENER NOTAS DE INTELIGENCIA N° 260, 261, 262 Y 263.PCM	DESPACHO MINISTERIAL	SE TOMÓ CONOCIMIENTO

FISCALÍA SUPRAPROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCIÓN DE FUNCIONARIOS - SOLICITA SI ALGUNA EMPRESA BRASILEÑA HA PRESENTADO ALGÚN PROYECTO RELACIONADA A OBRAS DE INFRAESTRUCTURA VIAL ENTRE LOS AÑOS 2013 Y 2014.MINISTERIO PUBLICO	DESPACHO VICEMINISTERIAL DE TRANSPORTES	MARIA MILAGROS SALAZAR PAIVA - FISCAL PROVINCIAL - FISCALIA SUPRAPROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS - EQUIPO ESPECIAL - SEXTO DESPACHO.

FISCALÍA SUPRAPROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCIÓN DE FUNCIONARIOS - SOLICITA SI LA EMPRESA CONSTRUCTORA OAS S.A. HA PRESENTADO ALGÚN PROYECTO RELACIONADA A OBRAS DE INFRAESTRUCTURA VIAL ENTRE LOS AÑOS 2013 Y 2014.MINISTERIO PUBLICO	DESPACHO VICEMINISTERIAL DE TRANSPORTES	MARIA MILAGROS SALAZAR PAIVA - FISCAL PROVINCIAL - FISCALIA SUPRAPROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS - EQUIPO ESPECIAL - SEXTO DESPACHO.

CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/01 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014501-2019-1751-0/YOSEL ROLIN DURAN ESTELA MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA

(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)

(BOUCHER Y ACTAS DE AUDIENCIA ANEXADAS EN SU LEGAJO RESPECTIVO)"

REMITE COPIA DE OFICIO N°1021-2019-EF/52.04 RESPECTO A DOCUMENTO DEL BANCO MUNDIAL RELACIONADO CON EL PROGRAMA DE TRANSPORTE RURAL DESCENTRALIZADOMINISTERIO DE ECONOMIA Y FINANZAS	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE TOMO DE CONOCIMIENTO.

TRASLADA DOCUMENTO SOBRE SOLICITUD DE ASIGNACIÓN DE MAQUINARIA PESADA PARA REALIZAR TRABAJOS DE MEJORA DE INFRAESTRUCTURA VIAL. REMITIDO POR LA MUNICIPALIDAD DISTRITAL DE SAN BERNARDINO - CAJAMARCA.PCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE ATENDIO CON OFIC-000041-2020-MTC/20 - ALCALDE DE LA MUNICIPALIDAD DISTRITAL DE SAN BERNARDINO

SE REMITE PARA CONOCIMIENTO/CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/06 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014506-2019-1375-0/IMPUTADO HAIR BRAYAMS WILMER MEDINA CARIGAMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA

(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)

(BOUCHER Y ACTAS DE AUDIENCIA ANEXADAS EN SU LEGAJO RESPECTIVO)"

3ERA FISCALIA PENAL CORPORATIVA DE VENTANILLA: SOLICITA SE INFORME SI LOS SRES FELICIANO HUAMANI JIMENES Y OTROS CUENTAN CON LICENCIA DE CONDUCIR.MINISTERIO PUBLICO	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)	SE ATENDIO.

 CONVOCAN A PARTICIPA EN REUNIÓN DE TRABAJO ENTRE EL GOBIERNO NACIONAL Y LA PROVINCIA DE PARURO QUE SE LLEVARA ACABO EL DÍA 17 DE ENERO 2020 EN EL SALÓN CONSISTORIAL DE LA MUNICIPALIDAD PROVINCIAL DE PARURO A LAS 10:00AMPCM	OFICINA DE DIALOGO Y GESTION SOCIAL-(NUEVO-ROF)	PARTICIPO EN LA REUNIÓN MARTIN MENA DE LA ODGS.

 NOTIFICA DISPOSICIÓN , REFERENTE AL CASO N° 3006064501-2019-2555-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

01° FISCALÍA PROVINCIAL PENAL CORPORATIVA DE JAEN. REMITE CÉDULA DE NOTIFICACIÓN, RESPECTO A CASO N°2406044501-2019-2331-0, REMITIENDO DISPOSICIÓN FISCAL N°01MINISTERIO PUBLICO	DIRECCION GENERAL DE FISCALIZACIONES Y SANCIONES EN COMUNICACIONES-(NUEVO-ROF)	ATENDIDO CON OFICIO N° 0014-2019-MTC/29.03

